[2025-07-26 17:12:53,570: INFO: main: welcome to my custome logger]
[2025-07-26 17:16:22,811: INFO: main: welcome to my custome logger]
[2025-07-30 15:32:15,809: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-07-30 15:32:15,825: INFO: main: DataIngestionPipeLine.main() takes 0 positional arguments but 1 was given]
[2025-07-30 15:34:59,933: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-07-30 15:34:59,949: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-07-30 15:34:59,949: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-07-30 15:34:59,960: INFO: common: Created Directory at : artifacts]
[2025-07-30 15:35:02,951: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-07-30 16:02:52,228: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-07-30 16:02:52,235: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-07-30 16:02:52,235: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-07-30 16:02:52,235: INFO: common: Created Directory at : artifacts]
[2025-07-30 16:02:53,937: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-07-30 16:03:13,823: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-07-30 16:03:13,823: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-07-30 16:03:13,828: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-07-30 16:03:13,828: INFO: common: Created Directory at : artifacts]
[2025-07-30 16:03:17,537: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 21:55:36,257: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 21:55:36,267: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:55:36,267: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:55:36,267: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:55:38,960: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 21:55:38,960: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 21:55:38,960: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:55:38,960: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:55:38,966: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:55:41,672: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 21:56:37,878: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 21:56:37,893: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:56:37,895: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:56:37,895: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:56:38,797: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 21:56:38,797: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 21:56:38,797: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:56:38,797: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:56:38,797: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:56:39,828: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 21:57:09,005: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 21:57:09,005: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:57:09,005: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:57:09,005: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:57:09,909: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 21:57:09,914: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 21:57:09,914: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:57:09,914: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:57:09,998: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:57:11,870: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 21:59:13,370: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 21:59:13,370: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:59:13,370: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:59:13,380: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:59:14,304: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 21:59:14,304: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 21:59:14,304: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 21:59:14,304: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 21:59:14,320: INFO: common: Created Directory at : artifacts]
[2025-08-01 21:59:15,639: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:01:05,981: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:01:05,997: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:01:05,998: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:01:05,998: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:01:07,201: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:01:07,201: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:01:07,201: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:01:07,201: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:01:07,201: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:01:08,388: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:02:23,634: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:02:23,634: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:02:23,634: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:02:23,634: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:02:26,814: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:02:26,814: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:02:26,814: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:02:26,814: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:02:26,814: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:02:27,765: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:07:31,983: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:07:32,014: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:07:32,032: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:07:32,032: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:07:33,947: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:07:33,947: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:07:33,947: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:07:33,947: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:07:33,947: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:07:36,029: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:07:58,563: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:07:58,572: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:07:58,595: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:07:58,601: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:07:59,438: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:07:59,438: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:07:59,448: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:07:59,449: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:07:59,449: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:08:00,732: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:09:43,304: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:09:43,304: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:09:43,304: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:09:43,304: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:09:48,649: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:09:48,649: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:09:48,649: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:09:48,649: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:09:48,649: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:09:50,352: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:11:40,259: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:11:40,453: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:11:40,549: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:11:40,604: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:11:41,593: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:11:41,593: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:11:41,593: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:11:41,593: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:11:41,608: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:11:42,627: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:12:08,967: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:12:08,972: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:12:08,972: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:12:08,989: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:12:11,489: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:12:11,489: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:12:11,489: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:12:11,489: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:12:11,489: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:12:18,943: INFO: main: [Errno 22] Invalid argument: 'artifacts\\data_ingestion\\drugsComTrain_raw.csv']
[2025-08-01 22:12:55,199: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:12:55,199: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:12:55,199: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:12:55,199: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:12:56,961: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:12:56,961: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:12:56,961: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:12:56,961: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:12:56,961: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:12:57,703: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:24:16,610: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:24:16,626: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:24:16,626: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:24:16,641: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:24:20,132: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:24:20,132: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:24:20,132: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:24:20,132: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:24:20,132: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:24:23,054: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-01 22:26:01,220: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:26:01,236: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
